modele,type_prompt,niveau,tag,tp,fp,fn,precision_micro,recall_micro,f1_micro
gemini-3.1-flash-lite-preview,FS-R,niveau2.8,renvoi,36,6,20,0.8571,0.6429,0.7347
gemini-3.1-flash-lite-preview,FS-R,niveau2.8,traduction,107,0,64,1.0,0.6257,0.7698
gemini-3.1-flash-lite-preview,ZS,niveau2.6,auteur,94,0,71,1.0,0.5697,0.7259
gemini-3.1-flash-lite-preview,ZS,niveau2.6,bibliographie,39,7,79,0.8478,0.3305,0.4756
gemini-3.1-flash-lite-preview,ZS,niveau2.6,definition,165,25,18,0.8684,0.9016,0.8847
gemini-3.1-flash-lite-preview,ZS,niveau2.6,exemple,151,20,90,0.883,0.6266,0.733
gemini-3.1-flash-lite-preview,ZS,niveau2.6,reference,17,8,12,0.68,0.5862,0.6296
gemini-3.1-flash-lite-preview,ZS,niveau2.6,renvoi,36,12,20,0.75,0.6429,0.6923
gemini-3.1-flash-lite-preview,ZS,niveau2.6,traduction,111,0,60,1.0,0.6491,0.7872
gemini-3.1-flash-lite-preview,ZS,niveau2.8,auteur,69,0,96,1.0,0.4182,0.5897
gemini-3.1-flash-lite-preview,ZS,niveau2.8,bibliographie,17,6,101,0.7391,0.1441,0.2411
gemini-3.1-flash-lite-preview,ZS,niveau2.8,definition,165,28,18,0.8549,0.9016,0.8777
gemini-3.1-flash-lite-preview,ZS,niveau2.8,exemple,127,9,114,0.9338,0.527,0.6737
gemini-3.1-flash-lite-preview,ZS,niveau2.8,reference,8,0,21,1.0,0.2759,0.4324
gemini-3.1-flash-lite-preview,ZS,niveau2.8,renvoi,14,3,42,0.8235,0.25,0.3836
gemini-3.1-flash-lite-preview,ZS,niveau2.8,traduction,94,0,77,1.0,0.5497,0.7094
gemma-3-27b-it,FS,niveau2.6,auteur,25,0,140,1.0,0.1515,0.2632
gemma-3-27b-it,FS,niveau2.6,bibliographie,10,2,108,0.8333,0.0847,0.1538
gemma-3-27b-it,FS,niveau2.6,definition,80,0,103,1.0,0.4372,0.6084
gemma-3-27b-it,FS,niveau2.6,exemple,43,125,198,0.256,0.1784,0.2103
gemma-3-27b-it,FS,niveau2.6,reference,0,0,29,0.0,0.0,0.0
gemma-3-27b-it,FS,niveau2.6,renvoi,1,0,55,1.0,0.0179,0.0351
gemma-3-27b-it,FS,niveau2.6,traduction,28,0,143,1.0,0.1637,0.2814
gemma-3-27b-it,FS,niveau2.8,auteur,3,0,162,1.0,0.0182,0.0357
gemma-3-27b-it,FS,niveau2.8,bibliographie,0,0,118,0.0,0.0,0.0
gemma-3-27b-it,FS,niveau2.8,definition,50,0,133,1.0,0.2732,0.4292
gemma-3-27b-it,FS,niveau2.8,exemple,32,0,209,1.0,0.1328,0.2344
gemma-3-27b-it,FS,niveau2.8,reference,0,0,29,0.0,0.0,0.0
gemma-3-27b-it,FS,niveau2.8,renvoi,0,0,56,0.0,0.0,0.0
gemma-3-27b-it,FS,niveau2.8,traduction,7,0,164,1.0,0.0409,0.0787
gemma-3-27b-it,FS-R,niveau2.6,auteur,55,1,110,0.9821,0.3333,0.4977
gemma-3-27b-it,FS-R,niveau2.6,bibliographie,26,0,92,1.0,0.2203,0.3611
gemma-3-27b-it,FS-R,niveau2.6,definition,53,97,130,0.3533,0.2896,0.3183
gemma-3-27b-it,FS-R,niveau2.6,exemple,71,53,170,0.5726,0.2946,0.389
gemma-3-27b-it,FS-R,niveau2.6,reference,0,0,29,0.0,0.0,0.0
gemma-3-27b-it,FS-R,niveau2.6,renvoi,1,0,55,1.0,0.0179,0.0351
gemma-3-27b-it,FS-R,niveau2.6,traduction,9,0,162,1.0,0.0526,0.1
gemma-3-27b-it,FS-R,niveau2.8,auteur,61,7,104,0.8971,0.3697,0.5236
gemma-3-27b-it,FS-R,niveau2.8,bibliographie,18,0,100,1.0,0.1525,0.2647
gemma-3-27b-it,FS-R,niveau2.8,definition,105,74,78,0.5866,0.5738,0.5801
gemma-3-27b-it,FS-R,niveau2.8,exemple,36,4,205,0.9,0.1494,0.2562
gemma-3-27b-it,FS-R,niveau2.8,reference,0,0,29,0.0,0.0,0.0
gemma-3-27b-it,FS-R,niveau2.8,renvoi,0,0,56,0.0,0.0,0.0
gemma-3-27b-it,FS-R,niveau2.8,traduction,49,0,122,1.0,0.2865,0.4455
gemma-3-27b-it,ZS,niveau2.6,auteur,0,0,165,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.6,bibliographie,0,0,118,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.6,definition,0,0,183,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.6,exemple,0,0,241,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.6,reference,0,0,29,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.6,renvoi,0,0,56,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.6,traduction,0,0,171,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.8,auteur,0,0,165,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.8,bibliographie,0,0,118,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.8,definition,0,0,183,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.8,exemple,0,0,241,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.8,reference,0,0,29,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.8,renvoi,0,0,56,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.8,traduction,0,0,171,0.0,0.0,0.0
gpt-5-mini,FS,niveau2.6,auteur,13,0,152,1.0,0.0788,0.1461
gpt-5-mini,FS,niveau2.6,bibliographie,1,0,117,1.0,0.0085,0.0168
gpt-5-mini,FS,niveau2.6,definition,87,2,96,0.9775,0.4754,0.6397
gpt-5-mini,FS,niveau2.6,exemple,123,42,118,0.7455,0.5104,0.6059
gpt-5-mini,FS,niveau2.6,reference,4,0,25,1.0,0.1379,0.2424
gpt-5-mini,FS,niveau2.6,renvoi,5,3,51,0.625,0.0893,0.1562
gpt-5-mini,FS,niveau2.6,traduction,63,0,108,1.0,0.3684,0.5385
gpt-5-mini,FS,niveau2.8,auteur,54,3,111,0.9474,0.3273,0.4865
gpt-5-mini,FS,niveau2.8,bibliographie,24,0,94,1.0,0.2034,0.338
gpt-5-mini,FS,niveau2.8,definition,131,23,52,0.8506,0.7158,0.7774
gpt-5-mini,FS,niveau2.8,exemple,138,67,103,0.6732,0.5726,0.6188
gpt-5-mini,FS,niveau2.8,reference,16,0,13,1.0,0.5517,0.7111
gpt-5-mini,FS,niveau2.8,renvoi,39,3,17,0.9286,0.6964,0.7959
gpt-5-mini,FS,niveau2.8,traduction,56,0,115,1.0,0.3275,0.4934
gpt-5-mini,FS-R,niveau2.6,auteur,10,0,155,1.0,0.0606,0.1143
gpt-5-mini,FS-R,niveau2.6,bibliographie,5,0,113,1.0,0.0424,0.0813
gpt-5-mini,FS-R,niveau2.6,definition,77,28,106,0.7333,0.4208,0.5347
gpt-5-mini,FS-R,niveau2.6,exemple,62,21,179,0.747,0.2573,0.3827
gpt-5-mini,FS-R,niveau2.6,reference,0,0,29,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau2.6,renvoi,0,0,56,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau2.6,traduction,21,0,150,1.0,0.1228,0.2188
gpt-5-mini,FS-R,niveau2.8,auteur,2,0,163,1.0,0.0121,0.024
gpt-5-mini,FS-R,niveau2.8,bibliographie,2,0,116,1.0,0.0169,0.0333
gpt-5-mini,FS-R,niveau2.8,definition,82,17,101,0.8283,0.4481,0.5816
gpt-5-mini,FS-R,niveau2.8,exemple,20,0,221,1.0,0.083,0.1533
gpt-5-mini,FS-R,niveau2.8,reference,0,0,29,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau2.8,renvoi,0,0,56,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau2.8,traduction,18,0,153,1.0,0.1053,0.1905
gpt-5-mini,ZS,niveau2.6,auteur,0,0,165,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.6,bibliographie,0,0,118,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.6,definition,39,6,144,0.8667,0.2131,0.3421
gpt-5-mini,ZS,niveau2.6,exemple,0,0,241,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.6,reference,0,0,29,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.6,renvoi,0,0,56,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.6,traduction,0,0,171,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.8,auteur,0,0,165,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.8,bibliographie,0,0,118,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.8,definition,0,0,183,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.8,exemple,0,0,241,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.8,reference,0,0,29,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.8,renvoi,0,0,56,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.8,traduction,0,0,171,0.0,0.0,0.0
gpt-5.4-mini,FS,niveau2.6,auteur,26,0,112,1.0,0.1884,0.3171
gpt-5.4-mini,FS,niveau2.6,bibliographie,12,0,79,1.0,0.1319,0.233
gpt-5.4-mini,FS,niveau2.6,definition,132,13,28,0.9103,0.825,0.8656
gpt-5.4-mini,FS,niveau2.6,exemple,65,48,139,0.5752,0.3186,0.4101
gpt-5.4-mini,FS,niveau2.6,reference,5,0,15,1.0,0.25,0.4
gpt-5.4-mini,FS,niveau2.6,renvoi,16,4,24,0.8,0.4,0.5333
gpt-5.4-mini,FS,niveau2.6,traduction,82,0,75,1.0,0.5223,0.6862
gpt-5.4-mini,FS,niveau2.8,auteur,11,0,154,1.0,0.0667,0.125
gpt-5.4-mini,FS,niveau2.8,bibliographie,8,0,110,1.0,0.0678,0.127
gpt-5.4-mini,FS,niveau2.8,definition,169,20,14,0.8942,0.9235,0.9086
gpt-5.4-mini,FS,niveau2.8,exemple,61,39,180,0.61,0.2531,0.3578
gpt-5.4-mini,FS,niveau2.8,reference,0,0,29,0.0,0.0,0.0
gpt-5.4-mini,FS,niveau2.8,renvoi,9,0,47,1.0,0.1607,0.2769
gpt-5.4-mini,FS,niveau2.8,traduction,89,0,82,1.0,0.5205,0.6846
gpt-5.4-mini,FS-R,niveau2.6,auteur,17,0,121,1.0,0.1232,0.2194
gpt-5.4-mini,FS-R,niveau2.6,bibliographie,13,5,78,0.7222,0.1429,0.2385
gpt-5.4-mini,FS-R,niveau2.6,definition,79,18,81,0.8144,0.4938,0.6148
gpt-5.4-mini,FS-R,niveau2.6,exemple,27,33,177,0.45,0.1324,0.2045
gpt-5.4-mini,FS-R,niveau2.6,reference,8,0,12,1.0,0.4,0.5714
gpt-5.4-mini,FS-R,niveau2.6,renvoi,14,0,26,1.0,0.35,0.5185
gpt-5.4-mini,FS-R,niveau2.6,traduction,72,0,85,1.0,0.4586,0.6288
gpt-5.4-mini,FS-R,niveau2.8,auteur,20,0,145,1.0,0.1212,0.2162
gpt-5.4-mini,FS-R,niveau2.8,bibliographie,0,0,118,0.0,0.0,0.0
gpt-5.4-mini,FS-R,niveau2.8,definition,125,23,58,0.8446,0.6831,0.7553
gpt-5.4-mini,FS-R,niveau2.8,exemple,96,30,145,0.7619,0.3983,0.5232
gpt-5.4-mini,FS-R,niveau2.8,reference,0,0,29,0.0,0.0,0.0
gpt-5.4-mini,FS-R,niveau2.8,renvoi,0,0,56,0.0,0.0,0.0
gpt-5.4-mini,FS-R,niveau2.8,traduction,52,0,119,1.0,0.3041,0.4664
gpt-5.4-mini,ZS,niveau2.6,auteur,0,0,165,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.6,bibliographie,0,0,118,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.6,definition,0,0,183,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.6,exemple,0,0,241,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.6,reference,0,0,29,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.6,renvoi,0,0,56,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.6,traduction,0,0,171,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.8,auteur,0,0,165,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.8,bibliographie,0,0,118,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.8,definition,0,0,183,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.8,exemple,0,0,241,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.8,reference,0,0,29,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.8,renvoi,0,0,56,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.8,traduction,0,0,171,0.0,0.0,0.0
