model,prompt,document,tag,precision,recall,f1,pred_count,gold_count,source_file
gemma-3-27b-it,FS-R,TR6_p1003-1004,milestone,0.00,0.00,0.00,0,6,gemma-3-27b-it_FS-R_TR6_p1003-1004.json
gemma-3-27b-it,FS,TR1_p2001-2002,usg_dom,0.00,0.00,0.00,0,2,gemma-3-27b-it_FS_TR1_p2001-2002.json
gemma-3-27b-it,FS,TR1_p2001-2002,usg_other,0.00,0.00,0.00,0,4,gemma-3-27b-it_FS_TR1_p2001-2002.json
gemma-3-27b-it,FS,TR1_p2001-2002,milestone,0.62,1.00,0.76,13,8,gemma-3-27b-it_FS_TR1_p2001-2002.json
gemma-3-27b-it,FS,TR1_p453-454,usg_dom,0.00,0.00,0.00,0,2,gemma-3-27b-it_FS_TR1_p453-454.json
gemma-3-27b-it,FS,TR1_p453-454,usg_other,0.00,0.00,0.00,0,0,gemma-3-27b-it_FS_TR1_p453-454.json
gemma-3-27b-it,FS,TR1_p453-454,milestone,0.00,0.00,0.00,0,2,gemma-3-27b-it_FS_TR1_p453-454.json
gemma-3-27b-it,FS,TR2_p1785-1786,usg_dom,0.00,0.00,0.00,0,3,gemma-3-27b-it_FS_TR2_p1785-1786.json
gemma-3-27b-it,FS,TR2_p1785-1786,usg_other,0.00,0.00,0.00,0,6,gemma-3-27b-it_FS_TR2_p1785-1786.json
gemma-3-27b-it,FS,TR2_p1785-1786,milestone,0.00,0.00,0.00,0,1,gemma-3-27b-it_FS_TR2_p1785-1786.json
gemma-3-27b-it,FS,TR2_p37-38,usg_dom,0.00,0.00,0.00,0,0,gemma-3-27b-it_FS_TR2_p37-38.json
gemma-3-27b-it,FS,TR2_p37-38,usg_other,0.00,0.00,0.00,0,12,gemma-3-27b-it_FS_TR2_p37-38.json
gemma-3-27b-it,FS,TR2_p37-38,milestone,0.00,0.00,0.00,0,6,gemma-3-27b-it_FS_TR2_p37-38.json
gemma-3-27b-it,FS,TR3_p5-6,usg_dom,0.00,0.00,0.00,0,0,gemma-3-27b-it_FS_TR3_p5-6.json
gemma-3-27b-it,FS,TR3_p5-6,usg_other,0.00,0.00,0.00,0,0,gemma-3-27b-it_FS_TR3_p5-6.json
gemma-3-27b-it,FS,TR3_p5-6,milestone,0.00,0.00,0.00,0,4,gemma-3-27b-it_FS_TR3_p5-6.json
gemma-3-27b-it,FS,TR3_p7-8,usg_dom,0.00,0.00,0.00,0,1,gemma-3-27b-it_FS_TR3_p7-8.json
gemma-3-27b-it,FS,TR3_p7-8,usg_other,0.00,0.00,0.00,0,4,gemma-3-27b-it_FS_TR3_p7-8.json
gemma-3-27b-it,FS,TR3_p7-8,milestone,0.00,0.00,0.00,0,6,gemma-3-27b-it_FS_TR3_p7-8.json
gemma-3-27b-it,FS,TR4_p131-132,usg_dom,0.00,0.00,0.00,0,3,gemma-3-27b-it_FS_TR4_p131-132.json
gemma-3-27b-it,FS,TR4_p131-132,usg_other,0.00,0.00,0.00,0,2,gemma-3-27b-it_FS_TR4_p131-132.json
gemma-3-27b-it,FS,TR4_p131-132,milestone,0.88,1.00,0.93,8,7,gemma-3-27b-it_FS_TR4_p131-132.json
gemma-3-27b-it,FS,TR5_p489-490,usg_dom,1.00,0.33,0.50,1,3,gemma-3-27b-it_FS_TR5_p489-490.json
gemma-3-27b-it,FS,TR5_p489-490,usg_other,0.00,0.00,0.00,0,1,gemma-3-27b-it_FS_TR5_p489-490.json
gemma-3-27b-it,FS,TR5_p489-490,milestone,0.00,0.00,0.00,0,1,gemma-3-27b-it_FS_TR5_p489-490.json
gemma-3-27b-it,FS,TR5_p505-506,usg_dom,0.00,0.00,0.00,0,1,gemma-3-27b-it_FS_TR5_p505-506.json
gemma-3-27b-it,FS,TR5_p505-506,usg_other,0.00,0.00,0.00,0,0,gemma-3-27b-it_FS_TR5_p505-506.json
gemma-3-27b-it,FS,TR5_p505-506,milestone,1.00,1.00,1.00,1,1,gemma-3-27b-it_FS_TR5_p505-506.json
gemma-3-27b-it,FS,TR6_p1003-1004,usg_dom,0.00,0.00,0.00,0,2,gemma-3-27b-it_FS_TR6_p1003-1004.json
gemma-3-27b-it,FS,TR6_p1003-1004,usg_other,0.00,0.00,0.00,0,3,gemma-3-27b-it_FS_TR6_p1003-1004.json
gemma-3-27b-it,FS,TR6_p1003-1004,milestone,1.00,0.17,0.29,1,6,gemma-3-27b-it_FS_TR6_p1003-1004.json
gemma-3-27b-it,ZS,TR1_p2001-2002,usg_dom,0.00,0.00,0.00,0,2,gemma-3-27b-it_ZS_TR1_p2001-2002.json
gemma-3-27b-it,ZS,TR1_p2001-2002,usg_other,0.00,0.00,0.00,0,4,gemma-3-27b-it_ZS_TR1_p2001-2002.json
gemma-3-27b-it,ZS,TR1_p2001-2002,milestone,0.00,0.00,0.00,0,8,gemma-3-27b-it_ZS_TR1_p2001-2002.json
gemma-3-27b-it,ZS,TR1_p453-454,usg_dom,0.00,0.00,0.00,0,2,gemma-3-27b-it_ZS_TR1_p453-454.json
gemma-3-27b-it,ZS,TR1_p453-454,usg_other,0.00,0.00,0.00,0,0,gemma-3-27b-it_ZS_TR1_p453-454.json
gemma-3-27b-it,ZS,TR1_p453-454,milestone,0.29,1.00,0.44,7,2,gemma-3-27b-it_ZS_TR1_p453-454.json
gemma-3-27b-it,ZS,TR2_p1785-1786,usg_dom,1.00,0.67,0.80,2,3,gemma-3-27b-it_ZS_TR2_p1785-1786.json
gemma-3-27b-it,ZS,TR2_p1785-1786,usg_other,0.00,0.00,0.00,0,6,gemma-3-27b-it_ZS_TR2_p1785-1786.json
gemma-3-27b-it,ZS,TR2_p1785-1786,milestone,0.25,1.00,0.40,4,1,gemma-3-27b-it_ZS_TR2_p1785-1786.json
gemma-3-27b-it,ZS,TR2_p37-38,usg_dom,0.00,0.00,0.00,0,0,gemma-3-27b-it_ZS_TR2_p37-38.json
gemma-3-27b-it,ZS,TR2_p37-38,usg_other,0.00,0.00,0.00,0,12,gemma-3-27b-it_ZS_TR2_p37-38.json
gemma-3-27b-it,ZS,TR2_p37-38,milestone,0.00,0.00,0.00,0,6,gemma-3-27b-it_ZS_TR2_p37-38.json
gemma-3-27b-it,ZS,TR3_p5-6,usg_dom,0.00,0.00,0.00,0,0,gemma-3-27b-it_ZS_TR3_p5-6.json
gemma-3-27b-it,ZS,TR3_p5-6,usg_other,0.00,0.00,0.00,0,0,gemma-3-27b-it_ZS_TR3_p5-6.json
gemma-3-27b-it,ZS,TR3_p5-6,milestone,0.44,1.00,0.62,9,4,gemma-3-27b-it_ZS_TR3_p5-6.json
gemma-3-27b-it,ZS,TR3_p7-8,usg_dom,0.00,0.00,0.00,0,1,gemma-3-27b-it_ZS_TR3_p7-8.json
gemma-3-27b-it,ZS,TR3_p7-8,usg_other,0.00,0.00,0.00,0,4,gemma-3-27b-it_ZS_TR3_p7-8.json
gemma-3-27b-it,ZS,TR3_p7-8,milestone,0.46,1.00,0.63,13,6,gemma-3-27b-it_ZS_TR3_p7-8.json
gemma-3-27b-it,ZS,TR4_p131-132,usg_dom,0.00,0.00,0.00,0,3,gemma-3-27b-it_ZS_TR4_p131-132.json
gemma-3-27b-it,ZS,TR4_p131-132,usg_other,0.00,0.00,0.00,0,2,gemma-3-27b-it_ZS_TR4_p131-132.json
gemma-3-27b-it,ZS,TR4_p131-132,milestone,0.00,0.00,0.00,0,7,gemma-3-27b-it_ZS_TR4_p131-132.json
gemma-3-27b-it,ZS,TR5_p489-490,usg_dom,0.00,0.00,0.00,0,3,gemma-3-27b-it_ZS_TR5_p489-490.json
gemma-3-27b-it,ZS,TR5_p489-490,usg_other,0.00,0.00,0.00,0,1,gemma-3-27b-it_ZS_TR5_p489-490.json
gemma-3-27b-it,ZS,TR5_p489-490,milestone,0.00,0.00,0.00,0,1,gemma-3-27b-it_ZS_TR5_p489-490.json
gemma-3-27b-it,ZS,TR5_p505-506,usg_dom,0.00,0.00,0.00,0,1,gemma-3-27b-it_ZS_TR5_p505-506.json
gemma-3-27b-it,ZS,TR5_p505-506,usg_other,0.00,0.00,0.00,0,0,gemma-3-27b-it_ZS_TR5_p505-506.json
gemma-3-27b-it,ZS,TR5_p505-506,milestone,0.07,1.00,0.12,15,1,gemma-3-27b-it_ZS_TR5_p505-506.json
gemma-3-27b-it,ZS,TR6_p1003-1004,usg_dom,0.00,0.00,0.00,0,2,gemma-3-27b-it_ZS_TR6_p1003-1004.json
gemma-3-27b-it,ZS,TR6_p1003-1004,usg_other,0.00,0.00,0.00,0,3,gemma-3-27b-it_ZS_TR6_p1003-1004.json
gemma-3-27b-it,ZS,TR6_p1003-1004,milestone,0.00,0.00,0.00,0,6,gemma-3-27b-it_ZS_TR6_p1003-1004.json
gpt-5-mini,FS-R,TR1_p2001-2002,usg_dom,0.00,0.00,0.00,0,2,gpt-5-mini_FS-R_TR1_p2001-2002.json
gpt-5-mini,FS-R,TR1_p2001-2002,usg_other,0.00,0.00,0.00,0,4,gpt-5-mini_FS-R_TR1_p2001-2002.json
gpt-5-mini,FS-R,TR1_p2001-2002,milestone,0.00,0.00,0.00,0,8,gpt-5-mini_FS-R_TR1_p2001-2002.json
gpt-5-mini,FS-R,TR1_p453-454,usg_dom,0.00,0.00,0.00,0,2,gpt-5-mini_FS-R_TR1_p453-454.json
gpt-5-mini,FS-R,TR1_p453-454,usg_other,0.00,0.00,0.00,0,0,gpt-5-mini_FS-R_TR1_p453-454.json
gpt-5-mini,FS-R,TR1_p453-454,milestone,0.00,0.00,0.00,0,2,gpt-5-mini_FS-R_TR1_p453-454.json
gpt-5-mini,FS-R,TR2_p1785-1786,usg_dom,0.00,0.00,0.00,0,3,gpt-5-mini_FS-R_TR2_p1785-1786.json
gpt-5-mini,FS-R,TR2_p1785-1786,usg_other,0.00,0.00,0.00,0,6,gpt-5-mini_FS-R_TR2_p1785-1786.json
