modele,type_prompt,niveau,tag,tp,fp,fn,precision_micro,recall_micro,f1_micro
gemini-3.1-flash-lite-preview,FS-R,niveau2.5,bibliographie,60,5,58,0.9231,0.5085,0.6557
gemini-3.1-flash-lite-preview,FS-R,niveau2.5,definition,162,65,21,0.7137,0.8852,0.7902
gemini-3.1-flash-lite-preview,FS-R,niveau2.5,exemple,160,39,81,0.804,0.6639,0.7273
gemini-3.1-flash-lite-preview,FS-R,niveau2.5,reference,15,2,14,0.8824,0.5172,0.6522
gemini-3.1-flash-lite-preview,FS-R,niveau2.5,renvoi,34,5,22,0.8718,0.6071,0.7158
gemini-3.1-flash-lite-preview,FS-R,niveau2.5,traduction,111,1,60,0.9911,0.6491,0.7845
gemini-3.1-flash-lite-preview,ZS,niveau2.3,auteur,76,2,89,0.9744,0.4606,0.6255
gemini-3.1-flash-lite-preview,ZS,niveau2.3,bibliographie,23,0,95,1.0,0.1949,0.3262
gemini-3.1-flash-lite-preview,ZS,niveau2.3,definition,147,11,36,0.9304,0.8033,0.8622
gemini-3.1-flash-lite-preview,ZS,niveau2.3,exemple,121,2,120,0.9837,0.5021,0.6648
gemini-3.1-flash-lite-preview,ZS,niveau2.3,reference,17,7,12,0.7083,0.5862,0.6415
gemini-3.1-flash-lite-preview,ZS,niveau2.3,renvoi,54,21,2,0.72,0.9643,0.8244
gemini-3.1-flash-lite-preview,ZS,niveau2.3,traduction,103,0,68,1.0,0.6023,0.7518
gemini-3.1-flash-lite-preview,ZS,niveau2.5,auteur,84,2,81,0.9767,0.5091,0.6693
gemini-3.1-flash-lite-preview,ZS,niveau2.5,bibliographie,4,0,114,1.0,0.0339,0.0656
gemini-3.1-flash-lite-preview,ZS,niveau2.5,definition,171,26,12,0.868,0.9344,0.9
gemini-3.1-flash-lite-preview,ZS,niveau2.5,exemple,182,57,59,0.7615,0.7552,0.7583
gemini-3.1-flash-lite-preview,ZS,niveau2.5,reference,16,1,13,0.9412,0.5517,0.6957
gemini-3.1-flash-lite-preview,ZS,niveau2.5,renvoi,24,4,32,0.8571,0.4286,0.5714
gemini-3.1-flash-lite-preview,ZS,niveau2.5,traduction,105,0,66,1.0,0.614,0.7609
gemma-3-27b-it,FS,niveau2.3,auteur,36,1,129,0.973,0.2182,0.3564
gemma-3-27b-it,FS,niveau2.3,bibliographie,27,50,91,0.3506,0.2288,0.2769
gemma-3-27b-it,FS,niveau2.3,definition,119,51,64,0.7,0.6503,0.6742
gemma-3-27b-it,FS,niveau2.3,exemple,89,52,152,0.6312,0.3693,0.466
gemma-3-27b-it,FS,niveau2.3,reference,5,3,24,0.625,0.1724,0.2703
gemma-3-27b-it,FS,niveau2.3,renvoi,10,0,46,1.0,0.1786,0.303
gemma-3-27b-it,FS,niveau2.3,traduction,50,0,121,1.0,0.2924,0.4525
gemma-3-27b-it,FS,niveau2.5,auteur,14,0,151,1.0,0.0848,0.1564
gemma-3-27b-it,FS,niveau2.5,bibliographie,7,16,111,0.3043,0.0593,0.0993
gemma-3-27b-it,FS,niveau2.5,definition,87,20,96,0.8131,0.4754,0.6
gemma-3-27b-it,FS,niveau2.5,exemple,46,24,195,0.6571,0.1909,0.2958
gemma-3-27b-it,FS,niveau2.5,reference,4,0,25,1.0,0.1379,0.2424
gemma-3-27b-it,FS,niveau2.5,renvoi,9,0,47,1.0,0.1607,0.2769
gemma-3-27b-it,FS,niveau2.5,traduction,19,0,152,1.0,0.1111,0.2
gemma-3-27b-it,FS-R,niveau2.3,auteur,10,0,155,1.0,0.0606,0.1143
gemma-3-27b-it,FS-R,niveau2.3,bibliographie,15,2,103,0.8824,0.1271,0.2222
gemma-3-27b-it,FS-R,niveau2.3,definition,72,81,111,0.4706,0.3934,0.4286
gemma-3-27b-it,FS-R,niveau2.3,exemple,2,0,239,1.0,0.0083,0.0165
gemma-3-27b-it,FS-R,niveau2.3,reference,2,0,27,1.0,0.069,0.129
gemma-3-27b-it,FS-R,niveau2.3,renvoi,2,0,54,1.0,0.0357,0.069
gemma-3-27b-it,FS-R,niveau2.3,traduction,13,0,158,1.0,0.076,0.1413
gemma-3-27b-it,FS-R,niveau2.5,auteur,28,2,137,0.9333,0.1697,0.2872
gemma-3-27b-it,FS-R,niveau2.5,bibliographie,15,20,103,0.4286,0.1271,0.1961
gemma-3-27b-it,FS-R,niveau2.5,definition,64,90,119,0.4156,0.3497,0.3798
gemma-3-27b-it,FS-R,niveau2.5,exemple,51,24,190,0.68,0.2116,0.3228
gemma-3-27b-it,FS-R,niveau2.5,reference,0,0,29,0.0,0.0,0.0
gemma-3-27b-it,FS-R,niveau2.5,renvoi,0,0,56,0.0,0.0,0.0
gemma-3-27b-it,FS-R,niveau2.5,traduction,22,0,149,1.0,0.1287,0.228
gemma-3-27b-it,ZS,niveau2.3,auteur,0,0,165,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.3,bibliographie,0,0,118,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.3,definition,0,0,183,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.3,exemple,0,0,241,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.3,reference,0,0,29,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.3,renvoi,0,0,56,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.3,traduction,0,0,171,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.5,auteur,0,0,165,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.5,bibliographie,0,0,118,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.5,definition,0,0,183,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.5,exemple,0,0,241,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.5,reference,0,0,29,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.5,renvoi,0,0,56,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau2.5,traduction,0,0,171,0.0,0.0,0.0
gpt-5-mini,FS,niveau2.3,auteur,59,0,106,1.0,0.3576,0.5268
gpt-5-mini,FS,niveau2.3,bibliographie,20,0,98,1.0,0.1695,0.2899
gpt-5-mini,FS,niveau2.3,definition,126,0,57,1.0,0.6885,0.8155
gpt-5-mini,FS,niveau2.3,exemple,133,17,108,0.8867,0.5519,0.6803
gpt-5-mini,FS,niveau2.3,reference,11,0,18,1.0,0.3793,0.55
gpt-5-mini,FS,niveau2.3,renvoi,29,4,27,0.8788,0.5179,0.6517
gpt-5-mini,FS,niveau2.3,traduction,103,0,68,1.0,0.6023,0.7518
gpt-5-mini,FS,niveau2.5,auteur,60,2,105,0.9677,0.3636,0.5286
gpt-5-mini,FS,niveau2.5,bibliographie,18,0,100,1.0,0.1525,0.2647
gpt-5-mini,FS,niveau2.5,definition,127,1,56,0.9922,0.694,0.8167
gpt-5-mini,FS,niveau2.5,exemple,88,0,153,1.0,0.3651,0.535
gpt-5-mini,FS,niveau2.5,reference,8,7,21,0.5333,0.2759,0.3636
gpt-5-mini,FS,niveau2.5,renvoi,16,3,40,0.8421,0.2857,0.4267
gpt-5-mini,FS,niveau2.5,traduction,96,2,75,0.9796,0.5614,0.7138
gpt-5-mini,FS-R,niveau2.3,auteur,11,0,154,1.0,0.0667,0.125
gpt-5-mini,FS-R,niveau2.3,bibliographie,0,0,118,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau2.3,definition,62,17,121,0.7848,0.3388,0.4733
gpt-5-mini,FS-R,niveau2.3,exemple,58,14,183,0.8056,0.2407,0.3706
gpt-5-mini,FS-R,niveau2.3,reference,0,0,29,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau2.3,renvoi,0,0,56,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau2.3,traduction,39,0,132,1.0,0.2281,0.3714
gpt-5-mini,FS-R,niveau2.5,auteur,5,0,160,1.0,0.0303,0.0588
gpt-5-mini,FS-R,niveau2.5,bibliographie,8,0,110,1.0,0.0678,0.127
gpt-5-mini,FS-R,niveau2.5,definition,87,4,96,0.956,0.4754,0.635
gpt-5-mini,FS-R,niveau2.5,exemple,10,0,231,1.0,0.0415,0.0797
gpt-5-mini,FS-R,niveau2.5,reference,4,0,25,1.0,0.1379,0.2424
gpt-5-mini,FS-R,niveau2.5,renvoi,8,3,48,0.7273,0.1429,0.2388
gpt-5-mini,FS-R,niveau2.5,traduction,32,0,139,1.0,0.1871,0.3153
gpt-5-mini,ZS,niveau2.3,auteur,0,0,165,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.3,bibliographie,0,0,118,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.3,definition,0,0,183,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.3,exemple,0,0,241,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.3,reference,0,0,29,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.3,renvoi,0,0,56,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.3,traduction,0,0,171,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.5,auteur,0,0,165,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.5,bibliographie,1,0,117,1.0,0.0085,0.0168
gpt-5-mini,ZS,niveau2.5,definition,0,0,183,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.5,exemple,0,0,241,0.0,0.0,0.0
gpt-5-mini,ZS,niveau2.5,reference,4,0,25,1.0,0.1379,0.2424
gpt-5-mini,ZS,niveau2.5,renvoi,7,3,49,0.7,0.125,0.2121
gpt-5-mini,ZS,niveau2.5,traduction,0,0,171,0.0,0.0,0.0
gpt-5.4-mini,FS,niveau2.3,auteur,32,0,133,1.0,0.1939,0.3249
gpt-5.4-mini,FS,niveau2.3,bibliographie,6,0,112,1.0,0.0508,0.0968
gpt-5.4-mini,FS,niveau2.3,definition,130,56,53,0.6989,0.7104,0.7046
gpt-5.4-mini,FS,niveau2.3,exemple,90,73,151,0.5521,0.3734,0.4455
gpt-5.4-mini,FS,niveau2.3,reference,12,0,17,1.0,0.4138,0.5854
gpt-5.4-mini,FS,niveau2.3,renvoi,23,3,33,0.8846,0.4107,0.561
gpt-5.4-mini,FS,niveau2.3,traduction,81,0,90,1.0,0.4737,0.6429
gpt-5.4-mini,FS,niveau2.5,auteur,8,0,144,1.0,0.0526,0.1
gpt-5.4-mini,FS,niveau2.5,bibliographie,0,0,112,0.0,0.0,0.0
gpt-5.4-mini,FS,niveau2.5,definition,137,13,32,0.9133,0.8107,0.8589
gpt-5.4-mini,FS,niveau2.5,exemple,67,58,157,0.536,0.2991,0.384
gpt-5.4-mini,FS,niveau2.5,reference,3,0,24,1.0,0.1111,0.2
gpt-5.4-mini,FS,niveau2.5,renvoi,5,0,46,1.0,0.098,0.1786
gpt-5.4-mini,FS,niveau2.5,traduction,51,0,102,1.0,0.3333,0.5
gpt-5.4-mini,FS-R,niveau2.3,auteur,26,0,139,1.0,0.1576,0.2723
gpt-5.4-mini,FS-R,niveau2.3,bibliographie,7,0,111,1.0,0.0593,0.112
gpt-5.4-mini,FS-R,niveau2.3,definition,124,41,59,0.7515,0.6776,0.7126
gpt-5.4-mini,FS-R,niveau2.3,exemple,32,22,209,0.5926,0.1328,0.2169
gpt-5.4-mini,FS-R,niveau2.3,reference,9,0,20,1.0,0.3103,0.4737
gpt-5.4-mini,FS-R,niveau2.3,renvoi,22,0,34,1.0,0.3929,0.5641
gpt-5.4-mini,FS-R,niveau2.3,traduction,80,0,91,1.0,0.4678,0.6375
gpt-5.4-mini,FS-R,niveau2.5,auteur,25,1,140,0.9615,0.1515,0.2618
gpt-5.4-mini,FS-R,niveau2.5,bibliographie,4,3,114,0.5714,0.0339,0.064
gpt-5.4-mini,FS-R,niveau2.5,definition,125,3,58,0.9766,0.6831,0.8039
gpt-5.4-mini,FS-R,niveau2.5,exemple,54,25,187,0.6835,0.2241,0.3375
gpt-5.4-mini,FS-R,niveau2.5,reference,0,0,29,0.0,0.0,0.0
gpt-5.4-mini,FS-R,niveau2.5,renvoi,0,0,56,0.0,0.0,0.0
gpt-5.4-mini,FS-R,niveau2.5,traduction,52,0,119,1.0,0.3041,0.4664
gpt-5.4-mini,ZS,niveau2.3,auteur,9,0,156,1.0,0.0545,0.1034
gpt-5.4-mini,ZS,niveau2.3,bibliographie,0,0,118,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau2.3,definition,15,2,168,0.8824,0.082,0.15
gpt-5.4-mini,ZS,niveau2.3,exemple,38,15,203,0.717,0.1577,0.2585
gpt-5.4-mini,ZS,niveau2.3,reference,3,0,26,1.0,0.1034,0.1875
gpt-5.4-mini,ZS,niveau2.3,renvoi,3,3,53,0.5,0.0536,0.0968
gpt-5.4-mini,ZS,niveau2.3,traduction,13,0,158,1.0,0.076,0.1413
gpt-5.4-mini,ZS,niveau2.5,auteur,10,0,155,1.0,0.0606,0.1143
gpt-5.4-mini,ZS,niveau2.5,bibliographie,1,0,117,1.0,0.0085,0.0168
gpt-5.4-mini,ZS,niveau2.5,definition,15,0,168,1.0,0.082,0.1515
gpt-5.4-mini,ZS,niveau2.5,exemple,38,27,203,0.5846,0.1577,0.2484
gpt-5.4-mini,ZS,niveau2.5,reference,3,0,26,1.0,0.1034,0.1875
gpt-5.4-mini,ZS,niveau2.5,renvoi,4,3,52,0.5714,0.0714,0.127
gpt-5.4-mini,ZS,niveau2.5,traduction,27,0,144,1.0,0.1579,0.2727
