document,model,prompt,mainEntry_precision,mainEntry_recall,mainEntry_f1,relatedEntry_precision,relatedEntry_recall,relatedEntry_f1
TR4_p131-132,gpt-5-mini,FS-R,0.92,0.92,0.92,1.00,0.17,0.29
TR4_p131-132,gpt-5-mini,ZS,0.92,0.92,0.92,1.00,0.17,0.29
TR4_p131-132,gpt-5.4-mini,FS,0.92,0.92,0.92,0.00,0.00,0.00
TR4_p131-132,gpt-5.4-mini,FS-R,0.64,0.75,0.69,0.00,0.00,0.00
TR4_p131-132,gpt-5.4-mini,ZS,0.92,0.92,0.92,0.00,0.00,0.00
TR5_p489-490,gemini-3.1-flash-lite-preview,FS,0.90,0.90,0.90,0.00,0.00,0.00
TR5_p489-490,gemini-3.1-flash-lite-preview,ZS,1.00,0.50,0.67,0.00,0.00,0.00
TR5_p489-490,gemma-3-27b-it,FS,1.00,0.90,0.95,0.80,0.67,0.73
TR5_p489-490,gemma-3-27b-it,FS-R,1.00,0.90,0.95,0.80,0.67,0.73
TR5_p489-490,gemma-3-27b-it,ZS,0.70,0.70,0.70,0.60,0.50,0.55
TR5_p489-490,gpt-5-mini,FS,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p489-490,gpt-5-mini,FS-R,1.00,0.90,0.95,1.00,0.17,0.29
TR5_p489-490,gpt-5-mini,ZS,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p489-490,gpt-5.4-mini,FS,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p489-490,gpt-5.4-mini,FS-R,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p489-490,gpt-5.4-mini,ZS,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p505-506,gemini-3.1-flash-lite-preview,FS,1.00,1.00,1.00,0.88,0.88,0.88
TR5_p505-506,gemini-3.1-flash-lite-preview,FS-R,1.00,1.00,1.00,0.89,1.00,0.94
TR5_p505-506,gemini-3.1-flash-lite-preview,ZS,1.00,1.00,1.00,0.00,0.00,0.00
TR5_p505-506,gemma-3-27b-it,FS,0.50,0.60,0.55,0.78,0.88,0.82
TR5_p505-506,gemma-3-27b-it,FS-R,0.50,0.60,0.55,0.70,0.88,0.78
TR5_p505-506,gemma-3-27b-it,ZS,0.33,1.00,0.50,0.00,0.00,0.00
TR5_p505-506,gpt-5-mini,FS,1.00,1.00,1.00,1.00,0.88,0.93
TR5_p505-506,gpt-5-mini,FS-R,1.00,1.00,1.00,0.89,1.00,0.94
TR5_p505-506,gpt-5-mini,ZS,1.00,1.00,1.00,0.10,0.12,0.11
TR5_p505-506,gpt-5.4-mini,FS,1.00,1.00,1.00,0.00,0.00,0.00
TR5_p505-506,gpt-5.4-mini,FS-R,1.00,1.00,1.00,0.00,0.00,0.00
TR5_p505-506,gpt-5.4-mini,ZS,1.00,1.00,1.00,0.00,0.00,0.00
TR6_p1003-1004,gemini-3.1-flash-lite-preview,FS,0.94,0.94,0.94,0.00,0.00,0.00
TR6_p1003-1004,gemini-3.1-flash-lite-preview,FS-R,0.94,0.94,0.94,0.00,0.00,0.00
TR6_p1003-1004,gemini-3.1-flash-lite-preview,ZS,0.94,0.94,0.94,0.00,0.00,0.00
TR6_p1003-1004,gemma-3-27b-it,FS,0.81,0.72,0.76,0.00,0.00,0.00
TR6_p1003-1004,gemma-3-27b-it,FS-R,0.81,0.72,0.76,0.00,0.00,0.00
TR6_p1003-1004,gemma-3-27b-it,ZS,0.62,0.89,0.73,0.00,0.00,0.00
TR6_p1003-1004,gpt-5-mini,FS,1.00,0.94,0.97,0.00,0.00,0.00
TR6_p1003-1004,gpt-5-mini,FS-R,0.94,0.94,0.94,0.00,0.00,0.00
TR6_p1003-1004,gpt-5-mini,ZS,1.00,0.94,0.97,0.00,0.00,0.00
TR6_p1003-1004,gpt-5.4-mini,FS,0.89,0.89,0.89,0.00,0.00,0.00
TR6_p1003-1004,gpt-5.4-mini,FS-R,0.94,0.94,0.94,0.00,0.00,0.00
TR6_p1003-1004,gpt-5.4-mini,ZS,0.94,0.94,0.94,0.00,0.00,0.00
