modele,type_prompt,niveau,tag,tp,fp,fn,precision_micro,recall_micro,f1_micro
gemma-3-27b-it,ZS,niveau_parallele_2,traduction,0,0,171,0.0,0.0,0.0
gpt-5-mini,FS,niveau_parallele_2,definition,101,5,78,0.9528,0.5642,0.7088
gpt-5-mini,FS,niveau_parallele_2,encycl,49,0,131,1.0,0.2722,0.4279
gpt-5-mini,FS,niveau_parallele_2,etym,18,0,108,1.0,0.1429,0.25
gpt-5-mini,FS,niveau_parallele_2,exemple,91,16,148,0.8505,0.3808,0.526
gpt-5-mini,FS,niveau_parallele_2,glose,4,0,42,1.0,0.087,0.16
gpt-5-mini,FS,niveau_parallele_2,reference,13,19,19,0.4062,0.4062,0.4062
gpt-5-mini,FS,niveau_parallele_2,renvoi,4,0,51,1.0,0.0727,0.1356
gpt-5-mini,FS,niveau_parallele_2,traduction,58,0,113,1.0,0.3392,0.5066
gpt-5-mini,FS-R,niveau_parallele_2,definition,30,1,135,0.9677,0.1818,0.3061
gpt-5-mini,FS-R,niveau_parallele_2,encycl,5,5,168,0.5,0.0289,0.0546
gpt-5-mini,FS-R,niveau_parallele_2,etym,3,0,123,1.0,0.0238,0.0465
gpt-5-mini,FS-R,niveau_parallele_2,exemple,18,0,204,1.0,0.0811,0.15
gpt-5-mini,FS-R,niveau_parallele_2,glose,0,0,45,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau_parallele_2,reference,0,1,30,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau_parallele_2,renvoi,0,0,49,0.0,0.0,0.0
gpt-5-mini,FS-R,niveau_parallele_2,traduction,13,0,140,1.0,0.085,0.1566
gpt-5-mini,ZS,niveau_parallele_2,definition,15,4,164,0.7895,0.0838,0.1515
gpt-5-mini,ZS,niveau_parallele_2,encycl,0,0,180,0.0,0.0,0.0
gpt-5-mini,ZS,niveau_parallele_2,etym,0,0,126,0.0,0.0,0.0
gpt-5-mini,ZS,niveau_parallele_2,exemple,0,0,239,0.0,0.0,0.0
gpt-5-mini,ZS,niveau_parallele_2,glose,0,0,46,0.0,0.0,0.0
gpt-5-mini,ZS,niveau_parallele_2,reference,0,0,32,0.0,0.0,0.0
gpt-5-mini,ZS,niveau_parallele_2,renvoi,0,0,55,0.0,0.0,0.0
gpt-5-mini,ZS,niveau_parallele_2,traduction,0,0,171,0.0,0.0,0.0
gpt-5.4-mini,FS,niveau_parallele_2,definition,119,48,60,0.7126,0.6648,0.6879
gpt-5.4-mini,FS,niveau_parallele_2,encycl,26,0,154,1.0,0.1444,0.2524
gpt-5.4-mini,FS,niveau_parallele_2,etym,14,0,112,1.0,0.1111,0.2
gpt-5.4-mini,FS,niveau_parallele_2,exemple,154,36,85,0.8105,0.6444,0.7179
gpt-5.4-mini,FS,niveau_parallele_2,glose,2,1,44,0.6667,0.0435,0.0816
gpt-5.4-mini,FS,niveau_parallele_2,reference,21,31,11,0.4038,0.6562,0.5
gpt-5.4-mini,FS,niveau_parallele_2,renvoi,21,0,34,1.0,0.3818,0.5526
gpt-5.4-mini,FS,niveau_parallele_2,traduction,86,0,85,1.0,0.5029,0.6693
gpt-5.4-mini,FS-R,niveau_parallele_2,definition,122,6,57,0.9531,0.6816,0.7948
gpt-5.4-mini,FS-R,niveau_parallele_2,encycl,29,0,151,1.0,0.1611,0.2775
gpt-5.4-mini,FS-R,niveau_parallele_2,etym,17,0,109,1.0,0.1349,0.2378
gpt-5.4-mini,FS-R,niveau_parallele_2,exemple,64,38,175,0.6275,0.2678,0.3754
gpt-5.4-mini,FS-R,niveau_parallele_2,glose,8,0,38,1.0,0.1739,0.2963
gpt-5.4-mini,FS-R,niveau_parallele_2,reference,20,37,12,0.3509,0.625,0.4494
gpt-5.4-mini,FS-R,niveau_parallele_2,renvoi,14,3,41,0.8235,0.2545,0.3889
gpt-5.4-mini,FS-R,niveau_parallele_2,traduction,87,1,84,0.9886,0.5088,0.6718
gpt-5.4-mini,ZS,niveau_parallele_2,definition,0,0,179,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_2,encycl,0,0,180,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_2,etym,0,0,126,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_2,exemple,0,0,239,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_2,glose,0,0,46,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_2,reference,0,0,32,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_2,renvoi,0,0,55,0.0,0.0,0.0
gpt-5.4-mini,ZS,niveau_parallele_2,traduction,0,0,171,0.0,0.0,0.0
