document,model,prompt,mainEntry_precision,mainEntry_recall,mainEntry_f1,relatedEntry_precision,relatedEntry_recall,relatedEntry_f1
TR4_p131-132,gemma-3-27b-it,FS-R,0.67,0.50,0.57,0.00,0.00,0.00
TR4_p131-132,gemma-3-27b-it,ZS,0.41,0.92,0.56,0.00,0.00,0.00
TR4_p131-132,gpt-5-mini,FS,0.92,0.92,0.92,1.00,0.17,0.29
TR4_p131-132,gpt-5-mini,FS-R,0.75,0.75,0.75,0.00,0.00,0.00
TR4_p131-132,gpt-5-mini,ZS,0.67,0.67,0.67,1.00,0.17,0.29
TR4_p131-132,gpt-5.4-mini,FS,0.92,0.92,0.92,1.00,0.17,0.29
TR4_p131-132,gpt-5.4-mini,FS-R,0.64,0.75,0.69,1.00,0.50,0.67
TR4_p131-132,gpt-5.4-mini,ZS,0.83,0.42,0.56,0.00,0.00,0.00
TR5_p489-490,gemini-3.1-flash-lite-preview,FS,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p489-490,gemini-3.1-flash-lite-preview,FS-R,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p489-490,gemini-3.1-flash-lite-preview,ZS,0.89,0.80,0.84,0.00,0.00,0.00
TR5_p489-490,gemma-3-27b-it,FS,0.90,0.90,0.90,0.80,0.67,0.73
TR5_p489-490,gemma-3-27b-it,FS-R,1.00,0.90,0.95,0.71,0.83,0.77
TR5_p489-490,gemma-3-27b-it,ZS,0.82,0.90,0.86,0.67,0.67,0.67
TR5_p489-490,gpt-5-mini,FS,0.90,0.90,0.90,1.00,0.33,0.50
TR5_p489-490,gpt-5-mini,FS-R,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p489-490,gpt-5-mini,ZS,0.70,0.70,0.70,0.00,0.00,0.00
TR5_p489-490,gpt-5.4-mini,FS,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p489-490,gpt-5.4-mini,FS-R,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p489-490,gpt-5.4-mini,ZS,0.90,0.90,0.90,1.00,0.17,0.29
TR5_p505-506,gemini-3.1-flash-lite-preview,FS,1.00,1.00,1.00,0.11,0.12,0.12
TR5_p505-506,gemini-3.1-flash-lite-preview,FS-R,1.00,1.00,1.00,0.80,1.00,0.89
TR5_p505-506,gemini-3.1-flash-lite-preview,ZS,1.00,1.00,1.00,0.11,0.12,0.12
TR5_p505-506,gemma-3-27b-it,FS,0.83,1.00,0.91,0.78,0.88,0.82
TR5_p505-506,gemma-3-27b-it,FS-R,0.83,1.00,0.91,0.78,0.88,0.82
TR5_p505-506,gemma-3-27b-it,ZS,0.80,0.80,0.80,0.10,0.12,0.11
TR5_p505-506,gpt-5-mini,FS,1.00,1.00,1.00,0.88,0.88,0.88
TR5_p505-506,gpt-5-mini,FS-R,1.00,1.00,1.00,0.88,0.88,0.88
TR5_p505-506,gpt-5-mini,ZS,1.00,1.00,1.00,0.00,0.00,0.00
TR5_p505-506,gpt-5.4-mini,FS,1.00,1.00,1.00,0.00,0.00,0.00
TR5_p505-506,gpt-5.4-mini,FS-R,1.00,1.00,1.00,0.00,0.00,0.00
TR5_p505-506,gpt-5.4-mini,ZS,1.00,1.00,1.00,1.00,0.12,0.22
TR6_p1003-1004,gemini-3.1-flash-lite-preview,FS,0.94,0.94,0.94,0.00,0.00,0.00
TR6_p1003-1004,gemini-3.1-flash-lite-preview,FS-R,0.94,0.94,0.94,0.00,0.00,0.00
TR6_p1003-1004,gemini-3.1-flash-lite-preview,ZS,0.94,0.94,0.94,0.00,0.00,0.00
TR6_p1003-1004,gemma-3-27b-it,FS,0.84,0.89,0.86,0.00,0.00,0.00
TR6_p1003-1004,gemma-3-27b-it,FS-R,0.79,0.83,0.81,0.00,0.00,0.00
TR6_p1003-1004,gemma-3-27b-it,ZS,0.65,0.94,0.77,0.00,0.00,0.00
TR6_p1003-1004,gpt-5-mini,FS,1.00,0.94,0.97,0.00,0.00,0.00
TR6_p1003-1004,gpt-5-mini,FS-R,0.94,0.94,0.94,0.00,0.00,0.00
TR6_p1003-1004,gpt-5-mini,ZS,0.94,0.89,0.91,0.00,0.00,0.00
TR6_p1003-1004,gpt-5.4-mini,FS,0.89,0.94,0.92,0.00,0.00,0.00
TR6_p1003-1004,gpt-5.4-mini,FS-R,0.95,1.00,0.97,0.00,0.00,0.00
TR6_p1003-1004,gpt-5.4-mini,ZS,0.89,0.89,0.89,0.00,0.00,0.00
