model,prompt,document,element,precision,recall,f1,source_file
gemini-3.1-flash-lite-preview,FS-R,TR6_p1003-1004,mainEntry,0.94,0.94,0.94,gemini-3.1-flash-lite-preview_FS-R_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,FS-R,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS-R_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,FS,TR1_p2001-2002,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_FS_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS,TR1_p2001-2002,relatedEntry,1.00,0.20,0.33,gemini-3.1-flash-lite-preview_FS_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS,TR1_p453-454,mainEntry,1.00,0.89,0.94,gemini-3.1-flash-lite-preview_FS_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS,TR1_p453-454,relatedEntry,0.75,0.75,0.75,gemini-3.1-flash-lite-preview_FS_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS,TR2_p1785-1786,mainEntry,0.80,0.80,0.80,gemini-3.1-flash-lite-preview_FS_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,FS,TR2_p1785-1786,relatedEntry,1.00,0.19,0.32,gemini-3.1-flash-lite-preview_FS_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,FS,TR2_p37-38,mainEntry,0.94,1.00,0.97,gemini-3.1-flash-lite-preview_FS_TR2_p37-38.json
gemini-3.1-flash-lite-preview,FS,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS_TR2_p37-38.json
gemini-3.1-flash-lite-preview,FS,TR3_p5-6,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_FS_TR3_p5-6.json
gemini-3.1-flash-lite-preview,FS,TR3_p5-6,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS_TR3_p5-6.json
gemini-3.1-flash-lite-preview,FS,TR3_p7-8,mainEntry,0.92,1.00,0.96,gemini-3.1-flash-lite-preview_FS_TR3_p7-8.json
gemini-3.1-flash-lite-preview,FS,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS_TR3_p7-8.json
gemini-3.1-flash-lite-preview,FS,TR4_p131-132,mainEntry,0.92,0.92,0.92,gemini-3.1-flash-lite-preview_FS_TR4_p131-132.json
gemini-3.1-flash-lite-preview,FS,TR4_p131-132,relatedEntry,1.00,0.17,0.29,gemini-3.1-flash-lite-preview_FS_TR4_p131-132.json
gemini-3.1-flash-lite-preview,FS,TR5_p489-490,mainEntry,0.90,0.90,0.90,gemini-3.1-flash-lite-preview_FS_TR5_p489-490.json
gemini-3.1-flash-lite-preview,FS,TR5_p489-490,relatedEntry,1.00,0.17,0.29,gemini-3.1-flash-lite-preview_FS_TR5_p489-490.json
gemini-3.1-flash-lite-preview,FS,TR5_p505-506,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_FS_TR5_p505-506.json
gemini-3.1-flash-lite-preview,FS,TR5_p505-506,relatedEntry,0.11,0.12,0.12,gemini-3.1-flash-lite-preview_FS_TR5_p505-506.json
gemini-3.1-flash-lite-preview,FS,TR6_p1003-1004,mainEntry,0.94,0.94,0.94,gemini-3.1-flash-lite-preview_FS_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,FS,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,ZS,TR1_p2001-2002,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_ZS_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,ZS,TR1_p2001-2002,relatedEntry,1.00,0.20,0.33,gemini-3.1-flash-lite-preview_ZS_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,ZS,TR1_p453-454,mainEntry,1.00,0.89,0.94,gemini-3.1-flash-lite-preview_ZS_TR1_p453-454.json
gemini-3.1-flash-lite-preview,ZS,TR1_p453-454,relatedEntry,0.60,0.75,0.67,gemini-3.1-flash-lite-preview_ZS_TR1_p453-454.json
gemini-3.1-flash-lite-preview,ZS,TR2_p1785-1786,mainEntry,0.80,0.80,0.80,gemini-3.1-flash-lite-preview_ZS_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,ZS,TR2_p1785-1786,relatedEntry,1.00,0.12,0.22,gemini-3.1-flash-lite-preview_ZS_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,ZS,TR2_p37-38,mainEntry,0.94,1.00,0.97,gemini-3.1-flash-lite-preview_ZS_TR2_p37-38.json
gemini-3.1-flash-lite-preview,ZS,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_ZS_TR2_p37-38.json
gemini-3.1-flash-lite-preview,ZS,TR3_p5-6,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_ZS_TR3_p5-6.json
gemini-3.1-flash-lite-preview,ZS,TR3_p5-6,relatedEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_ZS_TR3_p5-6.json
gemini-3.1-flash-lite-preview,ZS,TR3_p7-8,mainEntry,0.92,1.00,0.96,gemini-3.1-flash-lite-preview_ZS_TR3_p7-8.json
gemini-3.1-flash-lite-preview,ZS,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_ZS_TR3_p7-8.json
gemini-3.1-flash-lite-preview,ZS,TR4_p131-132,mainEntry,0.92,0.92,0.92,gemini-3.1-flash-lite-preview_ZS_TR4_p131-132.json
gemini-3.1-flash-lite-preview,ZS,TR4_p131-132,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_ZS_TR4_p131-132.json
gemini-3.1-flash-lite-preview,ZS,TR5_p489-490,mainEntry,0.89,0.80,0.84,gemini-3.1-flash-lite-preview_ZS_TR5_p489-490.json
gemini-3.1-flash-lite-preview,ZS,TR5_p489-490,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_ZS_TR5_p489-490.json
gemini-3.1-flash-lite-preview,ZS,TR5_p505-506,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_ZS_TR5_p505-506.json
gemini-3.1-flash-lite-preview,ZS,TR5_p505-506,relatedEntry,0.11,0.12,0.12,gemini-3.1-flash-lite-preview_ZS_TR5_p505-506.json
gemini-3.1-flash-lite-preview,ZS,TR6_p1003-1004,mainEntry,0.94,0.94,0.94,gemini-3.1-flash-lite-preview_ZS_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,ZS,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_ZS_TR6_p1003-1004.json
gemma-3-27b-it,FS-R,TR1_p2001-2002,mainEntry,0.93,1.00,0.97,gemma-3-27b-it_FS-R_TR1_p2001-2002.json
gemma-3-27b-it,FS-R,TR1_p2001-2002,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_FS-R_TR1_p2001-2002.json
gemma-3-27b-it,FS-R,TR1_p453-454,mainEntry,1.00,0.89,0.94,gemma-3-27b-it_FS-R_TR1_p453-454.json
gemma-3-27b-it,FS-R,TR1_p453-454,relatedEntry,0.40,0.50,0.44,gemma-3-27b-it_FS-R_TR1_p453-454.json
gemma-3-27b-it,FS-R,TR2_p1785-1786,mainEntry,0.50,0.60,0.55,gemma-3-27b-it_FS-R_TR2_p1785-1786.json
gemma-3-27b-it,FS-R,TR2_p1785-1786,relatedEntry,0.70,0.88,0.78,gemma-3-27b-it_FS-R_TR2_p1785-1786.json
gemma-3-27b-it,FS-R,TR2_p37-38,mainEntry,0.58,0.93,0.72,gemma-3-27b-it_FS-R_TR2_p37-38.json
gemma-3-27b-it,FS-R,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_FS-R_TR2_p37-38.json
gemma-3-27b-it,FS-R,TR3_p5-6,mainEntry,0.67,1.00,0.80,gemma-3-27b-it_FS-R_TR3_p5-6.json
gemma-3-27b-it,FS-R,TR3_p5-6,relatedEntry,0.40,1.00,0.57,gemma-3-27b-it_FS-R_TR3_p5-6.json
gemma-3-27b-it,FS-R,TR3_p7-8,mainEntry,0.85,0.92,0.88,gemma-3-27b-it_FS-R_TR3_p7-8.json
gemma-3-27b-it,FS-R,TR3_p7-8,relatedEntry,0.45,0.83,0.59,gemma-3-27b-it_FS-R_TR3_p7-8.json
gemma-3-27b-it,FS-R,TR4_p131-132,mainEntry,0.67,0.50,0.57,gemma-3-27b-it_FS-R_TR4_p131-132.json
gemma-3-27b-it,FS-R,TR4_p131-132,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_FS-R_TR4_p131-132.json
gemma-3-27b-it,FS-R,TR5_p489-490,mainEntry,1.00,0.90,0.95,gemma-3-27b-it_FS-R_TR5_p489-490.json
gemma-3-27b-it,FS-R,TR5_p489-490,relatedEntry,0.71,0.83,0.77,gemma-3-27b-it_FS-R_TR5_p489-490.json
gemma-3-27b-it,FS-R,TR5_p505-506,mainEntry,0.83,1.00,0.91,gemma-3-27b-it_FS-R_TR5_p505-506.json
gemma-3-27b-it,FS-R,TR5_p505-506,relatedEntry,0.78,0.88,0.82,gemma-3-27b-it_FS-R_TR5_p505-506.json
gemma-3-27b-it,FS-R,TR6_p1003-1004,mainEntry,0.79,0.83,0.81,gemma-3-27b-it_FS-R_TR6_p1003-1004.json
gemma-3-27b-it,FS-R,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_FS-R_TR6_p1003-1004.json
gemma-3-27b-it,FS,TR1_p2001-2002,mainEntry,0.93,1.00,0.97,gemma-3-27b-it_FS_TR1_p2001-2002.json
gemma-3-27b-it,FS,TR1_p2001-2002,relatedEntry,1.00,0.20,0.33,gemma-3-27b-it_FS_TR1_p2001-2002.json
gemma-3-27b-it,FS,TR1_p453-454,mainEntry,1.00,0.89,0.94,gemma-3-27b-it_FS_TR1_p453-454.json
gemma-3-27b-it,FS,TR1_p453-454,relatedEntry,0.60,0.75,0.67,gemma-3-27b-it_FS_TR1_p453-454.json
gemma-3-27b-it,FS,TR2_p1785-1786,mainEntry,0.67,0.80,0.73,gemma-3-27b-it_FS_TR2_p1785-1786.json
gemma-3-27b-it,FS,TR2_p1785-1786,relatedEntry,1.00,0.25,0.40,gemma-3-27b-it_FS_TR2_p1785-1786.json
gemma-3-27b-it,FS,TR2_p37-38,mainEntry,0.87,0.87,0.87,gemma-3-27b-it_FS_TR2_p37-38.json
gemma-3-27b-it,FS,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_FS_TR2_p37-38.json
gemma-3-27b-it,FS,TR3_p5-6,mainEntry,0.67,1.00,0.80,gemma-3-27b-it_FS_TR3_p5-6.json
gemma-3-27b-it,FS,TR3_p5-6,relatedEntry,0.40,1.00,0.57,gemma-3-27b-it_FS_TR3_p5-6.json
gemma-3-27b-it,FS,TR3_p7-8,mainEntry,0.85,0.92,0.88,gemma-3-27b-it_FS_TR3_p7-8.json
gemma-3-27b-it,FS,TR3_p7-8,relatedEntry,0.50,0.17,0.25,gemma-3-27b-it_FS_TR3_p7-8.json
gemma-3-27b-it,FS,TR4_p131-132,mainEntry,0.85,0.92,0.88,gemma-3-27b-it_FS_TR4_p131-132.json
gemma-3-27b-it,FS,TR4_p131-132,relatedEntry,0.25,0.33,0.29,gemma-3-27b-it_FS_TR4_p131-132.json
gemma-3-27b-it,FS,TR5_p489-490,mainEntry,0.90,0.90,0.90,gemma-3-27b-it_FS_TR5_p489-490.json
gemma-3-27b-it,FS,TR5_p489-490,relatedEntry,0.80,0.67,0.73,gemma-3-27b-it_FS_TR5_p489-490.json
gemma-3-27b-it,FS,TR5_p505-506,mainEntry,0.83,1.00,0.91,gemma-3-27b-it_FS_TR5_p505-506.json
gemma-3-27b-it,FS,TR5_p505-506,relatedEntry,0.78,0.88,0.82,gemma-3-27b-it_FS_TR5_p505-506.json
gemma-3-27b-it,FS,TR6_p1003-1004,mainEntry,0.84,0.89,0.86,gemma-3-27b-it_FS_TR6_p1003-1004.json
gemma-3-27b-it,FS,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_FS_TR6_p1003-1004.json
gemma-3-27b-it,ZS,TR1_p2001-2002,mainEntry,0.88,1.00,0.93,gemma-3-27b-it_ZS_TR1_p2001-2002.json
gemma-3-27b-it,ZS,TR1_p2001-2002,relatedEntry,1.00,0.60,0.75,gemma-3-27b-it_ZS_TR1_p2001-2002.json
gemma-3-27b-it,ZS,TR1_p453-454,mainEntry,0.89,0.89,0.89,gemma-3-27b-it_ZS_TR1_p453-454.json
gemma-3-27b-it,ZS,TR1_p453-454,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_ZS_TR1_p453-454.json
gemma-3-27b-it,ZS,TR2_p1785-1786,mainEntry,0.19,1.00,0.32,gemma-3-27b-it_ZS_TR2_p1785-1786.json
gemma-3-27b-it,ZS,TR2_p1785-1786,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_ZS_TR2_p1785-1786.json
gemma-3-27b-it,ZS,TR2_p37-38,mainEntry,0.58,0.93,0.72,gemma-3-27b-it_ZS_TR2_p37-38.json
gemma-3-27b-it,ZS,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_ZS_TR2_p37-38.json
gemma-3-27b-it,ZS,TR3_p5-6,mainEntry,0.67,1.00,0.80,gemma-3-27b-it_ZS_TR3_p5-6.json
gemma-3-27b-it,ZS,TR3_p5-6,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_ZS_TR3_p5-6.json
gemma-3-27b-it,ZS,TR3_p7-8,mainEntry,0.69,0.92,0.79,gemma-3-27b-it_ZS_TR3_p7-8.json
gemma-3-27b-it,ZS,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_ZS_TR3_p7-8.json
gemma-3-27b-it,ZS,TR4_p131-132,mainEntry,0.41,0.92,0.56,gemma-3-27b-it_ZS_TR4_p131-132.json
gemma-3-27b-it,ZS,TR4_p131-132,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_ZS_TR4_p131-132.json
gemma-3-27b-it,ZS,TR5_p489-490,mainEntry,0.82,0.90,0.86,gemma-3-27b-it_ZS_TR5_p489-490.json
gemma-3-27b-it,ZS,TR5_p489-490,relatedEntry,0.67,0.67,0.67,gemma-3-27b-it_ZS_TR5_p489-490.json
gemma-3-27b-it,ZS,TR5_p505-506,mainEntry,0.80,0.80,0.80,gemma-3-27b-it_ZS_TR5_p505-506.json
gemma-3-27b-it,ZS,TR5_p505-506,relatedEntry,0.10,0.12,0.11,gemma-3-27b-it_ZS_TR5_p505-506.json
gemma-3-27b-it,ZS,TR6_p1003-1004,mainEntry,0.65,0.94,0.77,gemma-3-27b-it_ZS_TR6_p1003-1004.json
gemma-3-27b-it,ZS,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gemma-3-27b-it_ZS_TR6_p1003-1004.json
gpt-5-mini,FS-R,TR1_p2001-2002,mainEntry,1.00,1.00,1.00,gpt-5-mini_FS-R_TR1_p2001-2002.json
gpt-5-mini,FS-R,TR1_p2001-2002,relatedEntry,1.00,0.20,0.33,gpt-5-mini_FS-R_TR1_p2001-2002.json
gpt-5-mini,FS-R,TR1_p453-454,mainEntry,1.00,0.89,0.94,gpt-5-mini_FS-R_TR1_p453-454.json
gpt-5-mini,FS-R,TR1_p453-454,relatedEntry,0.60,0.75,0.67,gpt-5-mini_FS-R_TR1_p453-454.json
gpt-5-mini,FS-R,TR2_p1785-1786,mainEntry,0.80,0.80,0.80,gpt-5-mini_FS-R_TR2_p1785-1786.json
gpt-5-mini,FS-R,TR2_p1785-1786,relatedEntry,1.00,0.19,0.32,gpt-5-mini_FS-R_TR2_p1785-1786.json
gpt-5-mini,FS-R,TR2_p37-38,mainEntry,0.94,1.00,0.97,gpt-5-mini_FS-R_TR2_p37-38.json
gpt-5-mini,FS-R,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gpt-5-mini_FS-R_TR2_p37-38.json
gpt-5-mini,FS-R,TR3_p5-6,mainEntry,1.00,1.00,1.00,gpt-5-mini_FS-R_TR3_p5-6.json
gpt-5-mini,FS-R,TR3_p5-6,relatedEntry,0.00,0.00,0.00,gpt-5-mini_FS-R_TR3_p5-6.json
gpt-5-mini,FS-R,TR3_p7-8,mainEntry,0.92,1.00,0.96,gpt-5-mini_FS-R_TR3_p7-8.json
gpt-5-mini,FS-R,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gpt-5-mini_FS-R_TR3_p7-8.json
gpt-5-mini,FS-R,TR4_p131-132,mainEntry,0.75,0.75,0.75,gpt-5-mini_FS-R_TR4_p131-132.json
gpt-5-mini,FS-R,TR4_p131-132,relatedEntry,0.00,0.00,0.00,gpt-5-mini_FS-R_TR4_p131-132.json
gpt-5-mini,FS-R,TR5_p489-490,mainEntry,0.90,0.90,0.90,gpt-5-mini_FS-R_TR5_p489-490.json
gpt-5-mini,FS-R,TR5_p489-490,relatedEntry,1.00,0.17,0.29,gpt-5-mini_FS-R_TR5_p489-490.json
gpt-5-mini,FS-R,TR5_p505-506,mainEntry,1.00,1.00,1.00,gpt-5-mini_FS-R_TR5_p505-506.json
gpt-5-mini,FS-R,TR5_p505-506,relatedEntry,0.88,0.88,0.88,gpt-5-mini_FS-R_TR5_p505-506.json
gpt-5-mini,FS-R,TR6_p1003-1004,mainEntry,0.94,0.94,0.94,gpt-5-mini_FS-R_TR6_p1003-1004.json
gpt-5-mini,FS-R,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gpt-5-mini_FS-R_TR6_p1003-1004.json
gpt-5-mini,FS,TR1_p2001-2002,mainEntry,1.00,1.00,1.00,gpt-5-mini_FS_TR1_p2001-2002.json
gpt-5-mini,FS,TR1_p2001-2002,relatedEntry,1.00,0.20,0.33,gpt-5-mini_FS_TR1_p2001-2002.json
gpt-5-mini,FS,TR1_p453-454,mainEntry,1.00,0.89,0.94,gpt-5-mini_FS_TR1_p453-454.json
gpt-5-mini,FS,TR1_p453-454,relatedEntry,0.75,0.75,0.75,gpt-5-mini_FS_TR1_p453-454.json
gpt-5-mini,FS,TR2_p1785-1786,mainEntry,0.80,0.80,0.80,gpt-5-mini_FS_TR2_p1785-1786.json
gpt-5-mini,FS,TR2_p1785-1786,relatedEntry,1.00,0.19,0.32,gpt-5-mini_FS_TR2_p1785-1786.json
gpt-5-mini,FS,TR2_p37-38,mainEntry,1.00,1.00,1.00,gpt-5-mini_FS_TR2_p37-38.json
gpt-5-mini,FS,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gpt-5-mini_FS_TR2_p37-38.json
gpt-5-mini,FS,TR3_p5-6,mainEntry,1.00,1.00,1.00,gpt-5-mini_FS_TR3_p5-6.json
gpt-5-mini,FS,TR3_p5-6,relatedEntry,0.00,0.00,0.00,gpt-5-mini_FS_TR3_p5-6.json
gpt-5-mini,FS,TR3_p7-8,mainEntry,0.92,1.00,0.96,gpt-5-mini_FS_TR3_p7-8.json
gpt-5-mini,FS,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gpt-5-mini_FS_TR3_p7-8.json
gpt-5-mini,FS,TR4_p131-132,mainEntry,0.92,0.92,0.92,gpt-5-mini_FS_TR4_p131-132.json
gpt-5-mini,FS,TR4_p131-132,relatedEntry,1.00,0.17,0.29,gpt-5-mini_FS_TR4_p131-132.json
gpt-5-mini,FS,TR5_p489-490,mainEntry,0.90,0.90,0.90,gpt-5-mini_FS_TR5_p489-490.json
gpt-5-mini,FS,TR5_p489-490,relatedEntry,1.00,0.33,0.50,gpt-5-mini_FS_TR5_p489-490.json
gpt-5-mini,FS,TR5_p505-506,mainEntry,1.00,1.00,1.00,gpt-5-mini_FS_TR5_p505-506.json
gpt-5-mini,FS,TR5_p505-506,relatedEntry,0.88,0.88,0.88,gpt-5-mini_FS_TR5_p505-506.json
gpt-5-mini,FS,TR6_p1003-1004,mainEntry,1.00,0.94,0.97,gpt-5-mini_FS_TR6_p1003-1004.json
gpt-5-mini,FS,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gpt-5-mini_FS_TR6_p1003-1004.json
gpt-5-mini,ZS,TR1_p2001-2002,mainEntry,1.00,1.00,1.00,gpt-5-mini_ZS_TR1_p2001-2002.json
gpt-5-mini,ZS,TR1_p2001-2002,relatedEntry,0.00,0.00,0.00,gpt-5-mini_ZS_TR1_p2001-2002.json
gpt-5-mini,ZS,TR1_p453-454,mainEntry,1.00,0.89,0.94,gpt-5-mini_ZS_TR1_p453-454.json
gpt-5-mini,ZS,TR1_p453-454,relatedEntry,0.00,0.00,0.00,gpt-5-mini_ZS_TR1_p453-454.json
gpt-5-mini,ZS,TR2_p1785-1786,mainEntry,0.80,0.80,0.80,gpt-5-mini_ZS_TR2_p1785-1786.json
gpt-5-mini,ZS,TR2_p1785-1786,relatedEntry,1.00,0.19,0.32,gpt-5-mini_ZS_TR2_p1785-1786.json
gpt-5-mini,ZS,TR2_p37-38,mainEntry,1.00,1.00,1.00,gpt-5-mini_ZS_TR2_p37-38.json
gpt-5-mini,ZS,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gpt-5-mini_ZS_TR2_p37-38.json
gpt-5-mini,ZS,TR3_p5-6,mainEntry,1.00,1.00,1.00,gpt-5-mini_ZS_TR3_p5-6.json
gpt-5-mini,ZS,TR3_p5-6,relatedEntry,0.00,0.00,0.00,gpt-5-mini_ZS_TR3_p5-6.json
gpt-5-mini,ZS,TR3_p7-8,mainEntry,0.83,0.83,0.83,gpt-5-mini_ZS_TR3_p7-8.json
gpt-5-mini,ZS,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gpt-5-mini_ZS_TR3_p7-8.json
gpt-5-mini,ZS,TR4_p131-132,mainEntry,0.67,0.67,0.67,gpt-5-mini_ZS_TR4_p131-132.json
gpt-5-mini,ZS,TR4_p131-132,relatedEntry,1.00,0.17,0.29,gpt-5-mini_ZS_TR4_p131-132.json
gpt-5-mini,ZS,TR5_p489-490,mainEntry,0.70,0.70,0.70,gpt-5-mini_ZS_TR5_p489-490.json
gpt-5-mini,ZS,TR5_p489-490,relatedEntry,0.00,0.00,0.00,gpt-5-mini_ZS_TR5_p489-490.json
gpt-5-mini,ZS,TR5_p505-506,mainEntry,1.00,1.00,1.00,gpt-5-mini_ZS_TR5_p505-506.json
gpt-5-mini,ZS,TR5_p505-506,relatedEntry,0.00,0.00,0.00,gpt-5-mini_ZS_TR5_p505-506.json
gpt-5-mini,ZS,TR6_p1003-1004,mainEntry,0.94,0.89,0.91,gpt-5-mini_ZS_TR6_p1003-1004.json
gpt-5-mini,ZS,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gpt-5-mini_ZS_TR6_p1003-1004.json
gpt-5.4-mini,FS-R,TR1_p2001-2002,mainEntry,0.93,1.00,0.97,gpt-5.4-mini_FS-R_TR1_p2001-2002.json
gpt-5.4-mini,FS-R,TR1_p2001-2002,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS-R_TR1_p2001-2002.json
gpt-5.4-mini,FS-R,TR1_p453-454,mainEntry,1.00,0.89,0.94,gpt-5.4-mini_FS-R_TR1_p453-454.json
gpt-5.4-mini,FS-R,TR1_p453-454,relatedEntry,0.33,0.25,0.29,gpt-5.4-mini_FS-R_TR1_p453-454.json
gpt-5.4-mini,FS-R,TR2_p1785-1786,mainEntry,0.80,0.80,0.80,gpt-5.4-mini_FS-R_TR2_p1785-1786.json
gpt-5.4-mini,FS-R,TR2_p1785-1786,relatedEntry,1.00,0.12,0.22,gpt-5.4-mini_FS-R_TR2_p1785-1786.json
gpt-5.4-mini,FS-R,TR2_p37-38,mainEntry,0.94,1.00,0.97,gpt-5.4-mini_FS-R_TR2_p37-38.json
gpt-5.4-mini,FS-R,TR2_p37-38,relatedEntry,1.00,0.25,0.40,gpt-5.4-mini_FS-R_TR2_p37-38.json
gpt-5.4-mini,FS-R,TR3_p5-6,mainEntry,1.00,1.00,1.00,gpt-5.4-mini_FS-R_TR3_p5-6.json
gpt-5.4-mini,FS-R,TR3_p5-6,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS-R_TR3_p5-6.json
gpt-5.4-mini,FS-R,TR3_p7-8,mainEntry,0.92,1.00,0.96,gpt-5.4-mini_FS-R_TR3_p7-8.json
gpt-5.4-mini,FS-R,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gpt-5.4-mini_FS-R_TR3_p7-8.json
